loc1,loc2,text,link,vrn,region,prver,pronetvd,date,day,month,year,location,link_to_UIK
Республика Бурятия,"муниципальный район ""Северо-Байкальский район""","Выборы главы сельского поселения ""Холодное эвенкийское"" муниципального образования ""Северо-Байкальский район""",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&vrn=4034017105752&region=4&prver=0&pronetvd=null,4034017105752.0,4.0,0.0,,14 февраля 2010 года,14,2,2010,direct,http://www.buriat.vybory.izbirkom.ru/region/buriat?action=show&root=34017001&tvd=4034017105760&vrn=4034017105752&prver=0&pronetvd=null&region=4&sub_region=4&type=0&vibid=4034017105760
Новосибирская область,Искитимский район,Досрочные выборы главы Мичуринского сельсовета Искитимского района Новосибирской области,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&vrn=4544009119924&region=54&prver=0&pronetvd=null,4544009119924.0,54.0,0.0,,14 февраля 2010 года,14,2,2010,direct,http://www.novosibirsk.vybory.izbirkom.ru/region/novosibirsk?action=show&root=544009001&tvd=4544009123872&vrn=4544009119924&prver=0&pronetvd=null&region=54&sub_region=54&type=0&vibid=4544009123872
Новосибирская область,Искитимский район,Досрочные выборы главы Мичуринского сельсовета Искитимского района Новосибирской области,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&vrn=4544009119924&region=54&prver=0&pronetvd=null,4544009119924.0,54.0,0.0,,14 февраля 2010 года,14,2,2010,direct,http://www.novosibirsk.vybory.izbirkom.ru/region/novosibirsk?action=show&root=544009002&tvd=4544009123873&vrn=4544009119924&prver=0&pronetvd=null&region=54&sub_region=54&type=0&vibid=4544009123873
Новосибирская область,Искитимский район,Досрочные выборы главы Мичуринского сельсовета Искитимского района Новосибирской области,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&vrn=4544009119924&region=54&prver=0&pronetvd=null,4544009119924.0,54.0,0.0,,14 февраля 2010 года,14,2,2010,direct,http://www.novosibirsk.vybory.izbirkom.ru/region/novosibirsk?action=show&root=544009003&tvd=4544009123874&vrn=4544009119924&prver=0&pronetvd=null&region=54&sub_region=54&type=0&vibid=4544009123874
Оренбургская область,,Досрочные выборы главы муниципального образования Тюльганский район Оренбургской области,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&vrn=456404290592&region=56&prver=0&pronetvd=null,456404290592.0,56.0,0.0,,14 февраля 2010 года,14,2,2010,direct,http://www.orenburg.vybory.izbirkom.ru/region/orenburg?action=show&root=564042029&tvd=456404290856&vrn=456404290592&prver=0&pronetvd=null&region=56&sub_region=56&type=0&vibid=456404290856
Оренбургская область,,Досрочные выборы главы муниципального образования Тюльганский район Оренбургской области,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&vrn=456404290592&region=56&prver=0&pronetvd=null,456404290592.0,56.0,0.0,,14 февраля 2010 года,14,2,2010,direct,http://www.orenburg.vybory.izbirkom.ru/region/orenburg?action=show&root=564042001&tvd=456404290609&vrn=456404290592&prver=0&pronetvd=null&region=56&sub_region=56&type=0&vibid=456404290609
Оренбургская область,,Досрочные выборы главы муниципального образования Тюльганский район Оренбургской области,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&vrn=456404290592&region=56&prver=0&pronetvd=null,456404290592.0,56.0,0.0,,14 февраля 2010 года,14,2,2010,direct,http://www.orenburg.vybory.izbirkom.ru/region/orenburg?action=show&root=564042002&tvd=456404290610&vrn=456404290592&prver=0&pronetvd=null&region=56&sub_region=56&type=0&vibid=456404290610
Оренбургская область,,Досрочные выборы главы муниципального образования Тюльганский район Оренбургской области,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&vrn=456404290592&region=56&prver=0&pronetvd=null,456404290592.0,56.0,0.0,,14 февраля 2010 года,14,2,2010,direct,http://www.orenburg.vybory.izbirkom.ru/region/orenburg?action=show&root=564042003&tvd=456404290611&vrn=456404290592&prver=0&pronetvd=null&region=56&sub_region=56&type=0&vibid=456404290611
Оренбургская область,,Досрочные выборы главы муниципального образования Тюльганский район Оренбургской области,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&vrn=456404290592&region=56&prver=0&pronetvd=null,456404290592.0,56.0,0.0,,14 февраля 2010 года,14,2,2010,direct,http://www.orenburg.vybory.izbirkom.ru/region/orenburg?action=show&root=564042004&tvd=456404290612&vrn=456404290592&prver=0&pronetvd=null&region=56&sub_region=56&type=0&vibid=456404290612
Оренбургская область,,Досрочные выборы главы муниципального образования Тюльганский район Оренбургской области,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&vrn=456404290592&region=56&prver=0&pronetvd=null,456404290592.0,56.0,0.0,,14 февраля 2010 года,14,2,2010,direct,http://www.orenburg.vybory.izbirkom.ru/region/orenburg?action=show&root=564042005&tvd=456404290613&vrn=456404290592&prver=0&pronetvd=null&region=56&sub_region=56&type=0&vibid=456404290613
